1985,1116,1234
1985,1120,1345
1985,1207,1250
1985,1229,1425
1985,1242,1325
1985,1246,1449
1985,1256,1338
1985,1260,1233
1985,1314,1292
1985,1323,1333
1985,1326,1235
1985,1328,1299
1985,1374,1330
1985,1385,1380
1985,1396,1439
1985,1424,1361
1985,1104,1112
1985,1130,1403
1985,1181,1337
1985,1208,1455
1985,1210,1273
1985,1228,1318
1985,1268,1275
1985,1272,1335
1985,1276,1192
1985,1298,1261
1985,1301,1305
1985,1393,1177
1985,1412,1277
1985,1431,1409
1985,1433,1267
1985,1437,1173
1985,1120,1242
1985,1207,1396
1985,1246,1424
1985,1256,1326
1985,1260,1374
1985,1314,1323
1985,1328,1229
1985,1385,1116
1985,1104,1433
1985,1130,1181
1985,1210,1393
1985,1228,1208
1985,1268,1298
1985,1272,1412
1985,1301,1431
1985,1437,1276
1985,1207,1260
1985,1210,1228
1985,1272,1130
1985,1328,1256
1985,1301,1104
1985,1314,1120
1985,1385,1246
1985,1437,1268
1985,1207,1210
1985,1272,1328
1985,1385,1301
1985,1437,1314
1985,1207,1385
1985,1437,1272
1985,1437,1207
1986,1133,1431
1986,1177,1438
1986,1181,1290
1986,1207,1403
1986,1210,1265
1986,1242,1299
1986,1257,1180
1986,1261,1345
1986,1272,1123
1986,1277,1449
1986,1314,1428
1986,1328,1318
1986,1330,1452
1986,1396,1239
1986,1412,1281
1986,1437,1439
1986,1104,1462
1986,1114,1323
1986,1120,1112
1986,1156,1231
1986,1228,1193
1986,1235,1275
1986,1246,1172
1986,1268,1337
1986,1276,1103
1986,1298,1409
1986,1301,1234
1986,1385,1286
1986,1386,1350
1986,1393,1135
1986,1424,1419
1986,1443,1304
1986,1177,1328
1986,1181,1330
1986,1210,1437
1986,1242,1396
1986,1257,1133
1986,1261,1272
1986,1277,1207
1986,1314,1412
1986,1104,1228
1986,1120,1385
1986,1156,1386
1986,1235,1276
1986,1246,1443
1986,1298,1393
1986,1301,1114
1986,1424,1268
1986,1120,1424
1986,1246,1104
1986,1257,1314
1986,1261,1210
1986,1181,1177
1986,1242,1277
1986,1298,1156
1986,1301,1235
1986,1257,1120
1986,1261,1246
1986,1181,1298
1986,1242,1301
1986,1181,1242
1986,1257,1261
1986,1257,1181
1987,1104,1299
1987,1120,1360
1987,1122,1228
1987,1181,1401
1987,1231,1193
1987,1243,1208
1987,1276,1298
1987,1309,1140
1987,1314,1335
1987,1323,1292
1987,1344,1412
1987,1395,1267
1987,1417,1141
1987,1424,1226
1987,1461,1438
1987,1462,1281
1987,1177,1256
1987,1196,1301
1987,1207,1137
1987,1234,1365
1987,1242,1222
1987,1261,1210
1987,1283,1155
1987,1326,1246
1987,1328,1409
1987,1338,1265
1987,1345,1318
1987,1385,1455
1987,1393,1204
1987,1396,1380
1987,1431,1112
1987,1443,1452
1987,1104,1309
1987,1181,1462
1987,1231,1120
1987,1314,1276
1987,1323,1395
1987,1344,1122
1987,1424,1243
1987,1461,1417
1987,1177,1385
1987,1196,1345
1987,1207,1326
1987,1234,1431
1987,1242,1283
1987,1261,1396
1987,1328,1338
1987,1393,1443
1987,1207,1242
1987,1314,1323
1987,1344,1104
1987,1393,1196
1987,1231,1181
1987,1234,1328
1987,1261,1177
1987,1424,1461
1987,1344,1207
1987,1393,1314
1987,1231,1261
1987,1424,1234
1987,1231,1424
1987,1393,1344
1987,1231,1393
1988,1120,1133
1988,1140,1150
1988,1177,1455
1988,1181,1131
1988,1196,1385
1988,1243,1247
1988,1257,1333
1988,1258,1461
1988,1272,1124
1988,1276,1129
1988,1314,1317
1988,1328,1151
1988,1345,1192
1988,1348,1281
1988,1374,1323
1988,1393,1299
1988,1112,1165
1988,1207,1261
1988,1210,1235
1988,1228,1427
1988,1234,1199
1988,1242,1462
1988,1246,1380
1988,1268,1364
1988,1293,1301
1988,1338,1185
1988,1350,1231
1988,1371,1431
1988,1396,1250
1988,1424,1283
1988,1435,1429
1988,1437,1116
1988,1181,1374
1988,1243,1177
1988,1257,1140
1988,1276,1196
1988,1314,1258
1988,1328,1120
1988,1345,1272
1988,1348,1393
1988,1112,1371
1988,1234,1424
1988,1242,1293
1988,1246,1268
1988,1350,1210
1988,1396,1207
1988,1435,1338
1988,1437,1228
1988,1181,1348
1988,1328,1257
1988,1396,1350
1988,1437,1246
1988,1112,1234
1988,1242,1435
1988,1243,1345
1988,1314,1276
1988,1181,1396
1988,1328,1437
1988,1112,1314
1988,1242,1243
1988,1242,1181
1988,1328,1112
1988,1242,1328
1989,1112,1352
1989,1116,1258
1989,1123,1338
1989,1155,1388
1989,1177,1272
1989,1181,1354
1989,1228,1270
1989,1256,1247
1989,1257,1114
1989,1278,1243
1989,1292,1199
1989,1328,1190
1989,1373,1390
1989,1424,1225
1989,1438,1344
1989,1452,1397
1989,1161,1196
1989,1191,1333
1989,1207,1343
1989,1231,1206
1989,1234,1353
1989,1276,1462
1989,1281,1166
1989,1301,1376
1989,1314,1380
1989,1323,1435
1989,1371,1283
1989,1375,1104
1989,1393,1137
1989,1400,1210
1989,1417,1235
1989,1431,1261
1989,1112,1155
1989,1181,1452
1989,1228,1123
1989,1257,1116
1989,1278,1373
1989,1328,1256
1989,1424,1177
1989,1438,1292
1989,1207,1323
1989,1231,1431
1989,1276,1375
1989,1281,1400
1989,1301,1234
1989,1314,1417
1989,1371,1191
1989,1393,1161
1989,1276,1314
1989,1371,1231
1989,1424,1112
1989,1438,1328
1989,1181,1278
1989,1207,1301
1989,1228,1257
1989,1393,1281
1989,1276,1438
1989,1371,1424
1989,1181,1207
1989,1228,1393
1989,1276,1228
1989,1371,1181
1989,1276,1371
1990,1116,1343
1990,1123,1333
1990,1143,1231
1990,1155,1140
